Language	ISO 639-3	Glottocode	case_marker	case_prefix	case_suffix	comitative	instrumental	locative
Nanti	cox	nant1250	True	False	False	True	True	True
Nanga	nzz	nang1261	False	False	True	True	True	True
Nanai	gld	nana1257	True	False	False	True	True	True
Nambo	ncm	namb1293	True	False	False	True	True	True
Nakanai	nak	naka1262	True	False	False	True	True	True
Mün Chin	mwq	munc1235	True	False	False	True	True	True
Murui Huitoto	huu	muru1274	True	False	False	True	True	True
Murrinh-Patha	mwf	murr1258	False	False	True	True	True	True
Murle	mur	murl1244	True	False	True	False	True	True
Mundari	unr	mund1320	True	False	True	False	True	True
Moyon	nmo	moyo1238	True	False	True	False	True	True
Mosetén-Chimané	cas	mose1249	True	False	False	True	True	True
Mono-Alu	mte	mono1273	True	False	False	True	True	True
Momu-Fas	fqs	fass1245	True	False	False	True	True	True
Mombo Dogon	dmb	momb1254	True	False	False	True	True	True
Mogholi	mhj	mogh1245	False	False	True	True	True	True
Miya	mkf	miya1266	True	False	False	True	True	True
Mising-Padam-Miri-Minyong	mrg	misi1242	True	False	True	False	True	True
Mingrelian	xmf	ming1252	True	False	True	False	True	True
Milang	NOCODE_Milang	mila1245	True	False	False	True	True	True
Mikasuki	mik	mika1239	True	False	True	False	True	True
Migabac	mpp	miga1241	True	False	False	True	True	True
Michif	crg	mich1243	True	False	False	True	True	True
Meyah	mej	meya1236	False	True	False	True	True	True
Mewati	wtm	mewa1250	True	False	True	False	True	True
Meriam	ulk	meri1244	False	False	True	True	True	True
Mende (Papua New Guinea)	sim	mend1268	True	False	True	False	True	True
Mekeo	mek	meke1243	True	False	False	True	True	True
Mekens	skf	saki1248	True	False	False	True	True	True
Me'en	mym	meen1242	False	False	True	True	True	True
Mbula	mna	mbul1263	True	False	False	True	True	True
Mayo	mfy	mayo1264	True	False	False	True	True	True
Matsés	mcf	mats1244	True	False	False	True	True	True
Maskelynes	klv	mask1242	True	False	True	True	False	True
Marithiel	mfr	mari1424	True	False	True	False	True	True
Maria (India)	mrr	mari1414	True	False	True	False	True	True
Mao Naga	nbi	maon1238	True	False	False	True	True	True
Mangghuer	NOCODE_Mangghuer	minh1238	True	False	False	True	True	True
Manat	pmr	payn1244	False	False	True	True	True	True
Manange	nmm	mana1288	True	False	False	True	True	True
Malvi	mup	malv1243	True	False	True	False	True	True
Malay, Manado	xmm	mala1481	True	False	False	True	True	True
Malavedan	mjr	mala1463	True	False	True	False	True	True
Malabar-Sri Lanka Portuguese	NOCODE_Malabar-Sri-Lanka-Portuguese	mala1544	True	False	True	False	True	True
Maisin	mbq	mais1250	True	False	False	True	True	True
Ma Manda	skc	sauk1252	True	False	False	True	True	True
Lunda	lun	lund1266	True	False	False	True	True	True
Lowland Tarahumara	tac	lowl1265	False	False	True	True	True	True
Lowland Oaxaca Chontal	clo	lowl1260	True	False	False	True	True	True
Lopit	lpx	lopi1242	True	False	False	True	True	True
Limilngan	lmc	nucl1327	True	False	False	True	True	True
Limbu	lif	limb1266	True	False	False	True	True	True
Libido	liq	libi1250	True	False	False	True	True	True
Liangmai Naga	njn	lian1251	True	False	True	False	True	True
Lhomi	lhm	lhom1239	True	False	False	True	True	True
Lewo	lww	lewo1242	True	False	False	True	True	True
Leh Ladakhi	lbj	lada1244	True	False	True	False	True	True
Lao	lao	laoo1244	True	False	False	True	True	True
Lake Miwok	lmw	lake1258	False	False	True	True	True	True
