Language	ISO 639-3	Glottocode	passive	transitivity	valence
Skolt Sami	sms	skol1241	True	False	True
Siwu	akp	siwu1238	True	True	False
Siwai	siw	siwa1245	True	True	False
Situ	tzi	situ1238	True	True	False
Siona-Tetete	snn	sion1247	True	True	False
Sio	xsi	sioo1240	True	True	False
Sierra de Juárez Zapotec	zaa	sier1250	True	True	False
Sidamo	sid	sida1246	True	True	False
Sichuan Yi	iii	sich1238	True	False	True
Siar-Lak	sjr	siar1238	True	True	False
Shughni	sgh	shug1248	True	True	False
Shua	shg	shua1254	True	False	True
Sheko	she	shek1245	True	True	False
Shekhawati	swv	shek1243	True	True	False
Shabo	sbf	shab1252	True	False	True
Serrano	ser	serr1255	True	True	False
Seri	sei	seri1257	True	True	False
Semaq Beri	szc	sema1265	False	True	True
Selayar	sly	sela1260	True	True	False
Seediq	trv	taro1264	True	True	False
Sawila	swt	sawi1256	False	True	True
Savosavo	svs	savo1255	False	True	True
Satawalese	stw	sata1237	True	True	False
Sasak	sas	sasa1249	True	True	False
Sarsi	srs	sars1236	True	True	False
Saramaccan	srm	sara1340	True	True	False
Sangtam Naga	nsa	sang1321	True	True	False
Sangisari	sgr	sang1315	True	True	False
Sanaani Arabic	ayn	sana1295	True	True	False
San Miguel El Grande Mixtec	mig	sanm1295	True	True	False
San Martín Quechua	qvs	sanm1289	True	True	False
San Dionisio del Mar Huave	hve	sand1278	True	True	False
Salka-Tsishingini	tsw	tsis1238	True	True	False
Salinan	sln	sali1253	True	False	True
Saisiyat	xsy	sais1237	True	True	False
Safaliba	saf	safa1243	True	True	False
Sadri	sck	sadr1248	True	False	True
Sabanê	sae	saba1268	True	True	False
Saaroa	sxr	saar1237	True	True	False
Sa'a	apb	saaa1240	True	True	False
Ruund	rnd	ruun1238	True	True	False
Ruuli	ruc	ruul1235	True	True	False
Rundi	run	rund1242	True	False	True
Riuk Bekati'	bei	beka1241	True	True	False
Reta	ret	rett1240	True	False	True
Resígaro	rgr	resi1247	True	True	False
Rennell-Bellona	mnv	renn1242	True	True	False
Rembong-Wangka	reb	remb1250	True	True	False
Rawang	raw	rawa1265	True	True	False
Rarotongan	rar	raro1241	True	True	False
Rapanui	rap	rapa1244	True	True	False
Ramoaaina	rai	ramo1244	True	True	False
Rama	rma	rama1270	True	True	False
Raji	rji	raji1240	True	False	True
Quapaw	qua	quap1242	False	True	True
Pwo Eastern Karen	kjp	pwoe1235	True	False	True
Puyuma	pyu	puyu1239	True	True	False
Purepecha	tsz	pure1242	True	True	False
Puluwatese	puw	pulu1242	True	True	False
Pouye	bye	pouy1238	True	True	False
Poqomam	poc	poqo1253	True	True	False
Popti'	jac	popt1235	True	True	False
Pontic	pnt	pont1253	True	True	False
Pnar	pbv	pnar1238	True	True	False
Pitjantjatjara	pjt	pitj1243	True	True	False
Piscataway	psy	pisc1239	False	True	True
Pipil	ppl	pipi1250	True	True	False
Pingelapese	pif	ping1243	True	True	False
Pimbwe	piw	pimb1238	True	False	True
Pima Bajo	pia	pima1248	True	False	True
Pijin	pis	piji1239	False	True	True
Pichi	fpe	fern1234	True	True	False
Piaroa	pid	piar1243	True	True	False
Phom Naga	nph	phom1236	True	True	False
Peranakan Indonesian	pea	pera1256	True	True	False
