Language	ISO 639-3	Glottocode	comitative_causative	sociative
Tobelo	tlb	tobe1252	False	False
Tobati	tti	toba1266	False	False
Tobagonian Creole English	tgh	toba1282	False	False
Toba	tob	toba1269	False	False
Toaripi	tqo	toar1246	False	False
To'abaita	mlu	toab1237	False	False
Tlingit	tli	tlin1245	False	False
Tlaxcala-Puebla-Central Nahuatl	nhn	cent2132	False	False
Tlahuitoltepec Mixe	mxp	tlah1239	False	False
Tlachichilco Tepehua	tpt	tlac1235	False	False
Tiwi	tiw	tiwi1244	False	False
Tiwa (India)	lax	tiwa1253	False	False
Tiv	tiv	tivv1240	False	False
Titan	ttv	tita1241	False	False
Tirma-Chai	suq	suri1267	False	False
Tiri-Mea	cir	tiri1258	False	False
Tirax	mme	maee1241	False	False
Tiranige Diga Dogon	tde	tira1258	False	False
Tirahi	tra	tira1253	False	False
Tira	tic	tira1254	False	False
Tipai	dih	kumi1248	False	False
Tinà Sambal	xsb	tina1248	False	False
Timugon Murut	tih	timu1262	False	False
Timucua	tjm	timu1245	False	False
Timor Pidgin	tvy	timo1258	False	False
Timne	tem	timn1235	False	False
Timbe	tim	timb1251	False	False
Tima	tms	tima1241	False	False
Tilung	tij	tilu1238	False	False
Tillamook	til	till1254	False	False
Tikopia	tkp	tiko1237	False	False
Tikhak	NOCODE_Tikhak	tikh1243	False	False
Tigrinya	tir	tigr1271	False	False
Tigon Mbembe	nza	tigo1236	False	False
Tigak	tgc	tiga1245	False	False
Tifal	tif	tifa1245	False	False
Tiene	tii	tien1242	False	False
Tiefo-Nyafogo-Numudara	NOCODE_Tiefo-Nyafogo-Numudara	tief1244	False	False
Tidore	tvo	tido1248	False	False
Ticuna	tca	ticu1245	False	False
Tibetan	bod	tibe1272	False	False
Thurawal	tbh	thur1254	False	False
Thulung	tdh	thul1246	False	False
Thompson	thp	thom1243	False	False
Thayore	thd	thay1249	False	False
Thavung	thm	aheu1239	False	False
Tharaka	thk	thar1283	False	False
Thao	ssf	thao1240	False	False
Thangmi	thf	than1259	False	False
Thangal Naga	nki	than1255	False	False
Thai	tha	thai1261	False	False
Thado Chin	tcz	thad1238	False	False
Texistepec Popoluca	poq	texi1237	False	False
Tetun Dili	tdt	tetu1246	False	False
Tetum	tet	tetu1245	False	False
Tetelcingo Nahuatl	nhg	tete1251	False	False
Teso	teo	teso1249	False	False
Ternateño	tmg	tern1248	False	False
Ternate	tft	tern1247	False	False
Termanu	twu	term1237	False	False
Teribe	tfr	teri1250	False	False
Terena-Kinikinao-Chane	ter	tere1279	False	False
Terei	buo	tere1278	False	False
Tera	ttr	tera1251	False	False
Tequistlateco Chontal	NOCODE_Tequistlateco-Chontal	tequ1245	False	False
Tepeuxila Cuicatec	cux	tepe1280	False	False
Tepetotutla Chinantec	cnt	tepe1279	False	False
Tepecano	tep	tepe1278	False	False
Teop	tio	teop1238	False	False
Tennet	tex	tenn1246	False	False
Tenharim-Parintintin-Diahoi	pah	tenh1241	False	False
Tengou-Togo Dogon	dtk	tene1248	False	False
Tengger	tes	teng1272	False	False
Tenetehara	tqb	temb1276	False	False
Tena Lowland Quichua	quw	tena1240	False	False
Temiar	tea	temi1246	False	False
Temi	soz	temi1247	False	False
Telugu	tel	telu1262	False	False
Telefol	tlf	tele1256	False	False
Teiwa	twe	teiw1235	False	False
Tehuelche	teh	tehu1242	False	False
Tehit	kps	tehi1237	False	False
Tedim Chin	ctd	tedi1235	False	False
Tebul Ure Dogon	dtu	tebu1239	False	False
Teanu	tkw	tean1237	False	False
Tboli	tbl	tbol1240	False	False
Tayo	cks	tayo1238	False	False
Tayart Tamajeq	thz	taya1257	False	False
Tawra	mhu	diga1241	False	False
Tawallammat Tamajaq	ttq	tawa1286	False	False
Tawala	tbo	tawa1275	False	False
Tauya	tya	tauy1241	False	False
Tausug	tsg	taus1251	False	False
Taulil	tuh	taul1251	False	False
Tatuyo	tav	tatu1247	False	False
Tatar	tat	tata1255	False	False
Tatana	txx	tata1257	False	False
Tataltepec Chatino	cta	tata1258	False	False
Tasawaq	twq	tasa1240	False	False
Tarok	yer	taro1263	False	False
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	rif	tari1263	False	False
Tarao	tro	tara1313	False	False
Tapieté	tpj	tapi1253	False	False
Taos Northern Tiwa	twf	nort1550	False	False
Tanzanian Ngoni	xnj	tanz1241	False	False
Tanudan Kalinga	kml	lowe1412	False	False
Tanimuca-Retuarã	tnc	tani1257	False	False
Tangwang	NOCODE_Tangwang	tang1373	False	False
Tangut	txg	tang1334	False	False
Tangam	NOCODE_Tangam	tang1377	False	False
Tangale	tan	nucl1696	False	False
Tanaina	tfn	tana1289	False	False
Tanacross	tcb	tana1290	False	False
Tamil	tam	tami1289	False	False
Tamasheq	taq	tama1365	False	False
Tamambo	mla	malo1243	False	False
Talise	tlr	tali1259	False	False
Talaud	tld	tala1285	False	False
Talaandig-Binukid	bkd	binu1244	False	False
Takuu	nho	taku1257	False	False
Takia	tbc	taki1248	False	False
Takestani	tks	take1255	False	False
Takelma	tkm	take1257	False	False
Tajio	tdj	taji1246	False	False
Tajik	tgk	taji1245	False	False
Taita	dav	tait1250	False	False
Tairuma	uar	tair1256	False	False
Tainae	ago	tain1253	False	False
