Language	ISO 639-3	Glottocode	occlusive	plosive	stop
Lowland Tarahumara	tac	lowl1265	False	True	True
Lower Richmond	NOCODE_Lower-Richmond	lowe1444	False	True	True
Lou	loj	louu1245	False	True	True
Lopit	lpx	lopi1242	False	True	True
Lonwolwol	crc	lonw1238	False	True	True
Lombard	lmo	lomb1257	False	True	True
Loma (Liberia)	lom	loma1260	False	True	True
Lolopo	ycl	lolo1259	False	True	True
Loko	lok	loko1255	False	True	True
Lokaa	yaz	loka1252	False	True	True
Logba	lgq	logb1245	False	True	True
Lizu	NOCODE_Lizu	lizu1234	False	True	True
Lishán Didán	trg	lish1246	False	True	True
Lishana Deni	lsd	lish1247	False	True	True
Lingala	lin	ling1263	False	True	True
Limilngan	lmc	nucl1327	False	True	True
Limbu	lif	limb1266	False	True	True
Lillooet	lil	lill1248	False	True	True
Liko	lik	lika1243	False	True	True
Lihir	lih	lihi1237	False	True	True
Libido	liq	libi1250	False	True	True
Lezghian	lez	lezg1247	True	False	True
Lewo	lww	lewo1242	False	True	True
Lenje	leh	lenj1248	False	True	True
Lelepa	lpa	lele1267	False	True	True
Lelemi	lef	lele1264	False	True	True
Lele (Papua New Guinea)	lle	lele1270	False	True	True
Latvian	lav	latv1249	False	True	True
Late Middle Indo-Aryan	NOCODE_Middle-Indo-Aryan	midd1350	False	True	True
Larteh	lar	lart1238	False	True	True
Laragia	lrg	lara1258	False	True	True
Langi	lag	lang1320	False	True	True
Lamjung-Melamchi Yolmo	scp	hela1238	False	True	True
Lamboya	lmy	lamb1273	False	True	True
Lamang	hia	lama1288	False	True	True
Lakkia	lbc	lakk1238	False	True	True
Lahta-Zayein Karen	kxk	zaye1235	False	True	True
Ladino	lad	ladi1251	True	False	True
Ladin	lld	ladi1250	False	True	True
Lachi	lbt	lach1248	False	True	True
Laari	ldi	laar1238	False	True	True
Kyerung	kgy	kyer1238	True	False	True
Kxoe	xuu	kxoe1243	False	True	True
Kwomtari	kwo	nucl1593	False	True	True
Kwegu	xwg	kweg1241	False	True	True
Kwaza	xwa	kwaz1243	False	True	True
Kwakum	kwu	kwak1266	False	True	True
Kusaal	kus	kusa1250	False	True	True
Kuria	kuj	kuri1259	False	True	True
Kuni-Boazi	kvg	kuni1265	False	True	True
Kulung (Nigeria)	bbu	kulu1255	False	True	True
Kulsab	faj	fait1240	False	True	True
Kula (Indonesia)	tpg	kula1280	False	True	True
Kuikúro-Kalapálo	kui	kuik1246	False	True	True
Kui (Indonesia)	kvd	kuii1253	False	True	True
Kuanyama	kua	kuan1247	False	True	True
Kriang-Khlor	ngt	ngeq1245	False	True	True
Koy Sanjaq Jewish Neo-Aramaic	kqd	koys1242	False	True	True
Kotiria	gvc	guan1269	False	True	True
Koti	eko	koti1238	False	True	True
Koshin	kid	kosh1246	False	True	True
Kosarek Yale	kkl	kosa1249	False	True	True
Korra Koraga	kfd	korr1238	False	True	True
Korowai	khe	koro1312	False	True	True
Koroshi	ktl	koro1296	False	True	True
Korop	krp	koro1304	False	True	True
Koromfé	kfz	koro1298	False	True	True
Korlai Portuguese	vkp	korl1238	True	False	True
Korafe-Yegha	kpr	kora1294	False	True	True
Konni	kma	konn1242	False	True	True
Konai	kxw	kona1242	False	True	True
Komo (Sudan)	xom	komo1258	False	True	True
Kombai	tyn	komb1274	False	True	True
Kokota	kkk	koko1269	False	True	True
Koko Dhawa	NOCODE_Koko-Dhawa	koko1272	False	True	True
Koi	kkt	koii1238	False	True	True
Koho	kpm	koho1244	False	True	True
Kodava	kfa	koda1255	False	True	True
Kobon	kpw	kobo1249	False	True	True
Kipsigis	sgc	kips1239	False	True	True
Kiowa Apache	apk	kiow1264	False	True	True
Kilmeri	kih	kilm1241	False	True	True
Khwarshi-Inkhoqwari	khv	khva1239	False	True	True
Khwarezmian	xco	khwa1238	False	True	True
Khroskyabs	jiq	guan1266	False	True	True
Khowar	khw	khow1242	False	True	True
Khotanese	kho	khot1251	False	True	True
Khezha Naga	nkh	khez1235	False	True	True
Kharia	khr	khar1287	False	True	True
Khana	ogo	khan1278	False	True	True
Kgalagadi	xkv	kgal1244	False	True	True
Kenuzi-Dongola	kzh	kenu1236	False	True	True
Kensiu	kns	kens1248	False	True	True
Kendayan-Belangin	knx	kend1254	True	False	True
Kelabit	kzi	kela1258	False	True	True
Kekchí	kek	kekc1242	True	False	True
Keiga	kec	keig1242	False	True	True
Keerak	hhr	kera1248	False	True	True
Kedang	ksx	keda1252	False	True	True
Ke'o	xxk	keoo1238	False	True	True
