Language	ISO 639-3	Glottocode	nasal_consonant	occlusive	oral_consonant	plosive	stop
Yanda Dom Dogon	dym	yand1257	True	False	False	False	True
Yan-nhangu	jay	yann1237	True	False	False	False	True
Yami	tao	yami1254	False	False	False	True	True
Yalunka	yal	yalu1240	True	False	False	False	True
Yale	nce	yale1246	True	False	False	False	True
Yagnobi	yai	yagn1238	False	False	False	True	True
Yaeyama	rys	yaey1239	False	False	False	True	True
Yaaku	muu	yaak1241	False	False	False	True	True
Xiang Chinese	hsn	xian1251	True	False	False	False	True
Xhosa	xho	xhos1239	False	False	False	True	True
Xamtanga	xan	xamt1239	False	False	False	True	True
Wymysorys	wym	wymy1235	False	False	False	True	True
Wubuy	nuy	nung1290	True	False	False	False	True
Wu Chinese	wuu	wuch1236	False	False	False	True	True
Woun Meu	noa	woun1238	True	False	False	False	True
Worrorra	wro	worr1237	True	False	False	False	True
Worodougou	jud	woro1256	True	False	False	False	True
Woleaian	woe	wole1240	True	False	False	False	True
Wolane	wle	wola1253	False	False	False	True	True
Woi	wbw	woii1237	True	False	False	False	True
Wiru	wiu	wiru1244	True	False	False	False	True
Wirangu	wgu	wira1265	False	False	False	True	True
Westphalic	wep	west2356	False	False	False	True	True
Western Victoria	NOCODE_Western-Victoria	west2443	False	False	False	True	True
Western Sisaala	ssl	west2465	False	True	False	False	True
Western Puroik	NOCODE_Western-Puroik	west2873	False	False	False	True	True
Western Parbate Kham	kjl	west2420	True	False	False	False	True
Western Ojibwa	ojw	west1510	False	False	False	True	True
Western Minyag	wmg	west2417	True	False	False	False	True
Western Lawa	lcp	west2396	False	False	False	True	True
Western Keres	kjq	west2632	True	False	False	False	True
Western Kayah	kyu	west2409	False	False	False	True	True
Western Cham	cja	west2650	False	False	False	True	True
Western Balochi	bgn	west2368	False	False	False	True	True
West Makian	mqs	west2600	True	False	False	False	True
Wersing	kvw	wers1238	False	False	False	True	True
Wayuu	guc	wayu1243	False	False	False	True	True
Wayana	way	waya1269	True	False	False	False	True
Wawa	www	wawa1246	False	False	False	True	True
Waurá	wau	waur1244	True	False	False	False	True
Waskia	wsk	wask1241	True	False	False	False	True
Warluwara	wrb	warl1256	False	False	False	True	True
Wardaman	wrr	ward1246	False	True	False	False	True
Warao	wba	wara1303	True	False	False	False	True
Wapan	juk	wapa1235	True	False	False	False	True
Wano	wno	wano1243	False	False	False	True	True
Wanga	lwg	wang1294	False	False	False	True	True
Wandamen	wad	wand1267	False	False	False	True	True
Wandala	mfi	wand1278	True	False	False	False	True
Wanam Yelmek	NOCODE_Wanam	wana1273	False	False	False	True	True
Wambon	wms	wamb1259	False	False	False	True	True
Waiwai	waw	waiw1244	True	False	False	False	True
Waimiri-Atroari	atr	waim1253	False	True	False	False	True
Waigeo	wgo	waig1244	False	False	False	True	True
Wahgi	wgi	nucl1620	True	False	False	False	True
Wagdi	wbr	wagd1238	True	False	False	False	True
Waata	ssn	waat1238	False	False	False	True	True
Vwanji	wbi	vwan1235	True	False	False	True	False
Vute	vut	vute1244	True	False	False	False	True
Vurës	msn	vure1239	False	False	False	True	True
Vinza	vin	vinz1238	False	False	False	True	True
Vera'a	vra	vera1241	True	False	False	False	True
Vengo	bav	veng1238	False	False	False	True	True
Venetian	vec	vene1258	True	False	False	False	True
Venda	ven	vend1245	False	False	False	True	True
Vanimo	vam	vani1248	True	False	False	False	True
Vamale	mkt	vama1243	False	False	False	True	True
Vaiphei	vap	vaip1239	True	False	False	False	True
Vai	vai	vaii1241	True	False	False	False	True
Vaeakau-Taumako	piv	pile1238	True	False	False	False	True
Vaagri Booli	vaa	vaag1238	True	False	False	False	True
