Language	ISO 639-3	Glottocode	absolutive	ergative
Western Balochi	bgn	west2368	False	True
Weri	wer	weri1253	False	True
Wathawurrung	wth	wath1238	False	True
Watam	wax	wata1253	False	True
Waskia	wsk	wask1241	False	True
Warrnambool	gjm	warr1257	False	True
Warluwara	wrb	warl1256	False	True
Wari'	pav	wari1268	False	True
Waray (Philippines)	war	wara1300	True	False
Wandarang	wnd	wand1263	True	False
Wandala	mfi	wand1278	False	True
Walmajarri	wmt	walm1241	False	True
Wala	lgl	wala1266	True	False
Wakhi	wbl	wakh1245	False	True
Waiwai	waw	waiw1244	False	True
Wagaya	wga	waga1260	False	True
Votic	vot	voti1245	False	True
Vera'a	vra	vera1241	False	True
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	False	True
Ute-Southern Paiute	ute	utes1238	True	False
Ut-Main	gel	kagf1238	False	True
Urarina	ura	urar1246	False	True
Upper Tanana	tau	uppe1437	True	False
Upper Sorbian	hsb	uppe1395	False	True
Una	mtg	unaa1239	False	True
Umbugarla	umr	umbu1235	False	True
Ulwa	ulw	ulwa1239	False	True
Ulwa (Papua New Guinea)	yla	yaul1241	False	True
Ulithian	uli	ulit1238	False	True
Ughele	uge	ughe1237	False	True
Tübatulabal	tub	tuba1278	True	False
Tzotzil	tzo	tzot1259	True	False
Tzeltal	tzh	tzel1254	False	True
Tuwuli	bov	tuwu1238	True	False
Tuwali Ifugao	ifk	tuwa1243	True	False
Tutelo	tta	tute1247	True	False
Tunumiisiut	NOCODE_Tunumiisiut	tunu1234	True	False
Tunni	tqq	tunn1238	True	False
Tunisian-Zuwara Berber	NOCODE_Tunisian-Zuwara	tuni1262	False	True
Tule-Kaweah Yokuts	NOCODE_Tule-Kaweah	tule1245	True	False
Tula	tul	tula1252	False	True
Tuki	bag	tuki1240	False	True
Tsou	tsu	tsou1248	False	True
Tshobdun	NOCODE_Tshobdun	tsho1240	False	True
Tsat	huq	tsat1238	False	True
Ts'ixa	NOCODE_Tsixa	tsix1234	True	False
Tondano	tdn	tond1251	False	True
Tolowa-Chetco	tol	tolo1259	True	False
Tocantins Asurini	asu	toca1235	False	True
Tobelo	tlb	tobe1252	False	True
To'abaita	mlu	toab1237	False	True
Tlaxcala-Puebla-Central Nahuatl	nhn	cent2132	True	False
Tiri-Mea	cir	tiri1258	False	True
Tirax	mme	maee1241	False	True
Tinani	lbf	tina1246	False	True
