Language	ISO 639-3	Glottocode	adverbial_clause	complement_clause	nominalization	relative_clause	subordination
East Ambae	omb	east2443	True	True	True	True	True
Dupaninan Agta	duo	dupa1235	True	True	True	True	True
Duna	duc	duna1248	True	True	True	True	True
Dumi	dus	dumi1241	True	True	True	True	True
Donno So Dogon	dds	donn1239	True	True	True	True	True
Djambarrpuyngu	djr	djam1256	True	True	True	True	True
Dhofari Arabic	adf	dhof1235	True	True	True	True	True
Dhimal	dhi	dhim1246	True	True	True	True	True
Dhao	nfa	dhao1237	True	True	True	True	True
Darai	dry	dara1250	True	True	True	True	True
Danau	dnu	dana1252	True	True	True	True	True
Daai Chin	dao	daai1236	True	True	True	True	True
Cupeño	cup	cupe1243	True	True	True	True	True
Culina	cul	culi1244	True	True	True	True	True
Comox	coo	como1259	True	True	True	True	True
Comanche	com	coma1245	True	True	True	True	True
Cocama-Cocamilla	cod	coca1259	True	True	True	True	True
Chácobo	cao	chac1251	True	True	True	True	True
Chong of Chanthaburi	cog	chon1284	True	True	True	True	True
Chitwania Tharu	the	chit1274	True	True	True	True	True
Chintang	ctn	chhi1245	True	True	True	True	True
Central Romani	rmc	carp1235	True	True	True	True	True
Cavineña	cav	cavi1250	True	True	True	True	True
Catalan	cat	stan1289	True	True	True	True	True
Cashibo-Cacataibo	cbr	cash1251	True	True	True	True	True
Cao Miao	cov	caom1238	True	True	True	True	True
Camsá	kbh	cams1241	True	True	True	True	True
Cahuilla	chl	cahu1264	True	True	True	True	True
Buwal	bhs	buwa1243	True	True	True	True	True
Busoa	bup	buso1238	True	True	True	True	True
Buru (Indonesia)	mhs	buru1303	True	True	True	True	True
Burji	bji	burj1242	True	True	True	True	True
Bunoge Dogon	dgb	buno1241	True	True	True	True	True
Bujhyal	byh	bujh1238	True	True	True	True	True
Bugawac	buk	buga1250	True	True	True	True	True
Bororo	bor	boro1282	True	True	True	True	True
Bora	boa	bora1263	True	True	True	True	True
Bonan	peh	bona1250	True	True	True	True	True
Bih	ibh	biha1246	True	True	True	True	True
Bierebo	bnk	bier1244	True	True	True	True	True
Beng	nhb	beng1286	True	True	True	True	True
Bench	bcq	benc1235	True	True	True	True	True
Ben Tey Dogon	dbt	bent1238	True	True	True	True	True
Befang	bby	befa1241	True	True	True	True	True
Baure	brg	baur1253	True	True	True	True	True
Bats	bbl	bats1242	True	True	True	True	True
Bati (Cameroon)	btc	bati1251	True	True	True	True	True
Batak Karo	btx	bata1293	True	True	True	True	True
Barok	bjk	baro1253	True	True	True	True	True
Bariai	bch	bari1286	True	True	True	True	True
Barain	bva	bare1279	True	True	True	True	True
Bandial	bqj	band1340	True	True	True	True	True
Bambassi	myf	bamb1262	True	True	True	True	True
Baltic Romani	rml	balt1257	True	True	True	True	True
Balantak	blz	bala1315	True	True	True	True	True
Axamb	ahb	axam1237	True	True	True	True	True
Awngi	awn	awng1244	True	True	True	True	True
Awa-Cuaiquer	kwi	awac1239	True	True	True	True	True
Avatime	avn	avat1244	True	True	True	True	True
Aukan	djk	ndyu1242	True	True	True	True	True
Atong (India)	aot	aton1241	True	True	True	True	True
Ashéninka Perené	prq	ashe1272	True	True	True	True	True
Arta	atz	arta1239	True	True	True	True	True
Apma	app	apma1240	True	True	True	True	True
Apalaí	apy	apal1257	True	True	True	True	True
Anu	anl	anuu1241	True	True	True	True	True
Anta-Komnzo-Wára-Wérè	tci	wara1294	True	True	True	True	True
Amele	aey	amel1241	True	True	True	True	True
Ambonese Malay	abs	ambo1250	True	True	True	True	True
Akateko	knj	west2635	True	True	True	True	True
Aka-Bea	abj	akab1249	True	True	True	True	True
Aimele	ail	aime1238	True	True	True	True	True
Aguaruna	agr	agua1253	True	True	True	True	True
Achuar-Shiwiar	acu	achu1248	True	True	True	True	True
Abaza	abq	abaz1241	True	True	True	True	True
Àhàn	ahn	ahan1244	True	False	True	True	True
Zoogocho Zapotec	zpq	zoog1238	True	True	True	True	False
Zaniza Zapotec	zpw	zani1235	True	True	True	True	False
Zaiwa	atb	zaiw1241	True	False	True	True	True
Yuracaré	yuz	yura1255	True	True	False	True	True
Yuki	yuk	yuki1243	True	True	True	True	False
Yuchi	yuc	yuch1247	False	True	True	True	True
Yonggom	yon	yong1280	True	True	True	True	False
Yir-Yoront	yiy	yiry1245	True	False	True	True	True
Yimas	yee	yima1243	True	False	True	True	True
Yidiny	yii	yidi1250	True	True	False	True	True
Yeyi	yey	yeyi1239	True	True	False	True	True
Yemsa	jnj	yems1235	True	False	True	True	True
