Language	ISO 639-3	Glottocode	object_agreement	subject_agreement	subject_indexing
Piapoco	pio	piap1246	True	True	False
Phalura	phl	phal1254	True	True	False
Pero	pip	pero1241	True	True	False
Peranakan Indonesian	pea	pera1256	True	True	False
Pele-Ata	ata	pele1245	True	True	False
Pedi	nso	pedi1238	True	True	False
Paumarí	pad	paum1247	True	True	False
Pattani	lae	patt1248	True	True	False
Pass Valley Yali	yac	pass1247	True	True	False
Panytyima	pnw	pany1241	True	True	False
Panará	kre	pana1307	True	True	False
Panare	pbh	enap1235	True	True	False
Panamint	par	pana1305	True	True	False
Pamosu	hih	pamo1253	True	False	True
Paluai	blq	balu1257	False	True	True
Palikúr	plu	pali1279	True	True	False
Palauan	pau	pala1344	True	True	False
Pagu	pgu	pagu1249	True	True	False
Pacific Gulf Yupik	ems	paci1278	True	True	False
Pa'a	pqa	paaa1242	True	True	False
Owa	stn	owaa1237	True	True	False
Otoro	otr	otor1240	True	True	False
Oro Win	orw	orow1243	True	True	False
Ormuri	oru	ormu1247	True	True	False
Old Welsh	owl	oldw1239	True	True	False
Old Provençal	pro	oldp1253	True	True	False
Old Norse	non	oldn1244	True	True	False
Old Marathi	omr	oldm1244	True	True	False
Old Georgian	oge	oldg1234	True	True	False
Old French (842-ca. 1400)	fro	oldf1239	True	True	False
Oksapmin	opm	oksa1245	True	True	False
Ocotepec Mixtec	mie	ocot1243	True	True	False
Obdorsk Khanty	NOCODE_Obdorsk-Khanty	obdo1234	True	True	False
Nzadi	nzd	nzad1234	True	True	False
Nyaturu	rim	nyat1246	True	True	False
Nyankole	nyn	nyan1307	True	True	False
Nyangumarta	nna	nyan1301	True	True	False
Nyangbo	nyb	nyan1302	True	True	False
Nyangatom	nnj	nyan1315	True	True	False
Nyakyusa-Ngonde	nyy	nyak1260	True	True	False
Nungali	nug	nung1291	True	True	False
Nung (Myanmar)	nun	nung1282	True	True	False
Nugunu (Cameroon)	yas	nugu1242	True	True	False
Nubi	kcn	nubi1253	True	True	False
Nsenga	nse	nsen1242	True	True	False
Norwegian	nor	norw1258	True	True	False
Northwestern Lingala	NOCODE_Northwestern-Lingala	nort3345	True	True	False
Northwest Alaska Inupiatun	esk	nort2945	True	True	False
Northern Yukaghir	ykg	nort2745	True	True	False
Northern Tepehuan	ntp	nort2959	True	True	False
Northern Pashto	pbu	nort2646	True	True	False
Northern Mansi	mns	mans1258	True	True	False
Northern Kurdish	kmr	nort2641	True	True	False
Northeast Kiwai	kiw	nort2930	True	True	False
North-Central Talysh	tly	taly1247	True	True	False
North-Central Ju	knw	kung1261	True	True	False
North-Central Dargwa	dar	darg1241	True	True	False
North Slavey	scs	nort2942	True	True	False
North Giziga	gis	nort3047	True	True	False
Nopala Chatino	cya	nopa1235	False	True	True
Noon	snf	noon1242	True	True	False
Nomatsiguenga	not	noma1263	True	True	False
Njanga	NOCODE_Njanga	njan1240	True	True	False
Nipmuck	xlo	loup1243	True	True	False
Ninde	mwi	labo1244	True	True	False
Ninam	shb	nina1238	True	True	False
Nimboran	nir	nucl1633	True	True	False
Nimadi	noe	nima1243	True	True	False
Ngomba	jgo	ngom1272	True	True	False
Ngizim	ngi	ngiz1242	True	True	False
Ngiti	niy	ngit1239	True	True	False
Nggem	nbq	ngge1241	True	True	False
Ngarluma	nrl	ngar1287	True	True	False
Ngarinyin	ung	ngar1284	True	True	False
Nganasan	nio	ngan1291	True	True	False
Ngalakan	nig	ngal1293	True	True	False
Nez Perce	nez	nezp1238	True	True	False
Neo-Mandaic	mid	nucl1706	True	True	False
Nen	nqn	nenn1238	True	True	False
Nek	nif	nekk1240	True	True	False
Ndut	ndv	ndut1239	True	True	False
Ndonga	ndo	ndon1254	True	True	False
Ndengereko	ndg	nden1248	True	True	False
Ndamba	ndj	ndam1239	True	True	False
Ndali	ndh	ndal1241	True	True	False
Nawuri	naw	nawu1242	True	True	False
Narim	loh	nari1240	True	True	False
Nankina	nnk	nank1250	True	True	False
Nanggu	ngr	nang1262	False	True	True
Nanga	nzz	nang1261	True	True	False
Nalik	nal	nali1244	True	True	False
Nakanai	nak	naka1262	True	True	False
Najanga-Kindige	dbu	bond1248	True	True	False
Naasioi	nas	naas1242	True	True	False
Mün Chin	mwq	munc1235	True	True	False
Mwera (Nyasa)	mjh	mwer1247	True	True	False
Mwera (Chimwera)	mwe	mwer1248	True	True	False
Mwani	wmw	mwan1247	True	True	False
Mussau-Emira	emi	muss1246	True	True	False
Mursi	muz	murs1242	True	True	False
Munsee	umu	muns1251	True	False	True
Mungbam	mij	abar1238	True	True	False
Muna	mnb	muna1247	True	True	False
Muduapa	wiv	mudu1242	True	True	False
Mpongmpong	mgg	mpon1254	True	True	False
Moyon	nmo	moyo1238	True	True	False
Mosetén-Chimané	cas	mose1249	True	True	False
Montagnais	moe	mont1268	True	True	False
Moloko	mlw	molo1266	True	True	False
Mohave	mov	moha1256	True	True	False
Modern Greek	ell	mode1248	True	True	False
Miya	mkf	miya1266	True	True	False
Misima-Paneati	mpx	misi1243	True	True	False
Miship	mjs	mish1244	True	True	False
Miriwung	mep	miri1266	True	True	False
Mingrelian	xmf	ming1252	True	True	False
Migabac	mpp	miga1241	True	True	False
Michif	crg	mich1243	True	True	False
Mian	mpt	mian1256	True	True	False
Meyah	mej	meya1236	True	True	False
Mewati	wtm	mewa1250	True	True	False
Mewari	mtr	mewa1249	True	True	False
Mesqan	mvz	mesq1240	False	True	True
Meskwaki	sac	mesk1242	True	True	False
Melpa	med	melp1238	True	True	False
Mekens	skf	saki1248	True	True	False
Mehri	gdq	mehr1241	True	True	False
Mehek	nux	mehe1243	True	True	False
Mbukushu	mhw	mbuk1240	True	True	False
Mbuko	mqb	mbuk1243	True	True	False
Mbuk	bpc	mbuk1244	True	True	False
Mbugwe	mgz	mbug1242	True	True	False
Mbugu	mhd	mbug1240	True	True	False
Mauwake	mhl	mauw1238	True	True	False
Matumbi	mgw	matu1259	True	True	False
Matsés	mcf	mats1244	True	True	False
Maskelynes	klv	mask1242	True	True	False
Masaaba	myx	masa1299	True	True	False
Marwari (India)	rwr	marw1260	True	True	False
Martu Wangka	mpj	mart1256	True	True	False
Marori	mok	moro1289	True	True	False
Maricopa	mrc	mari1440	True	True	False
Maria (India)	mrr	mari1414	True	True	False
Marathi	mar	mara1378	True	True	False
Maraghei	vmh	mara1373	True	True	False
Maore Comorian	swb	maor1244	True	True	False
Mankanya	knf	mank1251	True	True	False
Maniq	tnz	tong1308	True	True	False
Mangala	mem	mang1383	True	True	False
Mandeali	mjl	mand1409	True	True	False
Mandan	mhq	mand1446	True	True	False
Manda-Matumba	mgs	mand1423	True	True	False
Manat	pmr	payn1244	True	True	False
Manambu	mle	mana1298	True	True	False
Manam	mva	mana1295	False	True	True
Maltese	mlt	malt1254	True	True	False
Malinaltepec Me'phaa	tcf	mali1285	True	True	False
Maleu-Kilenge	mgl	male1289	True	True	False
Malecite-Passamaquoddy	pqm	male1292	True	True	False
Malayo	mbp	mala1522	True	True	False
Makwe	ymk	makw1236	True	True	False
Makonde	kde	mako1251	True	True	False
Makhuwa-Saka	xsq	makh1266	True	True	False
Majhi	mjz	majh1253	True	True	False
Maithili	mai	mait1250	True	True	False
Maisin	mbq	mais1250	True	True	False
Maipure-Avane	NOCODE_Maipure	maip1247	True	True	False
Mailu	mgu	mail1248	True	True	False
Maijiki	ore	orej1242	True	True	False
Mahasu Pahari	bfz	maha1287	True	True	False
Magahi	mag	maga1260	True	True	False
Mafea	mkv	mafe1237	True	True	False
Mada (Nigeria)	mda	mada1282	True	True	False
Maco	wpc	maco1239	True	True	False
Machame	jmc	mach1266	True	True	False
Maasina Fulfulde	ffm	maas1239	True	True	False
Ma Manda	skc	sauk1252	True	True	False
Luvale	lue	luva1239	True	True	False
Lunda	lun	lund1266	True	True	False
Lumun	lmd	lumu1239	True	True	False
Luguru	ruf	lugu1238	True	True	False
Luchazi	lch	luch1239	True	True	False
Luba-Katanga	lub	luba1250	True	True	False
Loniu	los	loni1238	True	True	False
Logba	lgq	logb1245	True	True	False
Lizu	NOCODE_Lizu	lizu1234	True	True	False
Lishán Didán	trg	lish1246	True	True	False
Liko	lik	lika1243	True	True	False
Lewotobi	lwt	lewo1244	True	True	False
Lelepa	lpa	lele1267	False	True	True
Leh Ladakhi	lbj	lada1244	True	True	False
Lega-Mwenga	lgm	lega1250	True	True	False
Lealao Chinantec	cle	leal1235	True	True	False
Laz	lzz	lazz1240	True	True	False
Laven	lbo	lave1248	True	True	False
Latvian	lav	latv1249	True	True	False
Late Middle Indo-Aryan	NOCODE_Middle-Indo-Aryan	midd1350	True	True	False
Larike-Wakasihu	alo	lari1255	True	True	False
Lardil	lbz	lard1243	True	True	False
Lango (Uganda)	laj	lang1324	True	True	False
Langi	lag	lang1320	True	True	False
Lamaholot	slp	lama1277	True	True	False
Lala	nrz	lala1268	True	True	False
Lakota	lkt	lako1247	True	True	False
Ladino	lad	ladi1251	True	True	False
Laari	ldi	laar1238	True	True	False
Kwerba	kwe	nucl1595	True	True	False
Kwaza	xwa	kwaz1243	True	True	False
Kwaya	kya	kway1241	True	True	False
Kuria	kuj	kuri1259	True	True	False
Kunimaipa	kup	kuni1267	True	True	False
Kumbainggar	kgs	kumb1268	True	True	False
Kumaoni	kfy	kuma1273	True	True	False
Kulungtfu-Yuanggeng-Tobo	kgf	kube1244	True	True	False
Kulsab	faj	fait1240	True	True	False
Kullu Pahari	kfx	kull1236	True	True	False
Kuku-Yalanji	gvn	kuku1273	True	True	False
Kuku-Uwanh	uwa	kuku1280	True	True	False
Kuanyama	kua	kuan1247	True	True	False
Kryz	kry	kryt1240	True	True	False
Koyraboro Senni Songhai	ses	koyr1242	True	True	False
Kove	kvc	kove1237	True	True	False
Kotiria	gvc	guan1269	True	True	False
Koti	eko	koti1238	True	True	False
Koromfé	kfz	koro1298	True	True	False
Korlai Portuguese	vkp	korl1238	True	True	False
Korafe-Yegha	kpr	kora1294	True	True	False
Konso	kxc	kons1243	True	True	False
Kono (Guinea)	knu	kono1267	True	True	False
Konni	kma	konn1242	True	True	False
Konkan Marathi	knn	konk1267	True	True	False
Komo (Sudan)	xom	komo1258	True	True	False
Kol (Cameroon)	biw	kolc1235	True	True	False
Koitabu	kqi	koit1244	True	True	False
Koi	kkt	koii1238	True	True	False
Kohistani Shina	plk	kohi1248	True	True	False
Kitja	gia	kitj1240	True	True	False
Kistane	gru	kist1241	True	True	False
