Language	ISO 639-3	Glottocode	liquid
Polish	pol	poli1260	True
Pohnpeian	pon	pohn1238	True
Pnar	pbv	pnar1238	True
Plateau Malagasy	plt	plat1254	True
Plains Cree	crk	plai1258	True
Pitta Pitta	pit	pitt1247	True
Pitjantjatjara	pjt	pitj1243	True
Pite Sami	sje	pite1240	True
Pitcairn-Norfolk	pih	pitc1234	True
Piscataway	psy	pisc1239	True
Pipil	ppl	pipi1250	True
Pintupi-Luritja	piu	pint1250	True
Pinotepa Nacional Mixtec	mio	pino1237	True
Pingelapese	pif	ping1243	True
Pimbwe	piw	pimb1238	True
Pilagá	plg	pila1245	True
Pijin	pis	piji1239	True
Picuris Northern Tiwa	NOCODE_Picuris-Northern-Tiwa	picu1248	True
Pichi	fpe	fern1234	True
Piaroa	pid	piar1243	True
Piapoco	pio	piap1246	True
Phrygian	xpg	phry1239	True
