Language	ISO 639-3	Glottocode	contrastive_tone	pitch_accent	prosody	tonal_contrast	tonal_system	tone
South Fali	fal	sout2782	True	False	False	False	False	True
Sonsorol	sov	sons1242	False	True	False	False	False	True
Solu-Khumbu Sherpa	xsr	sher1255	False	False	False	True	False	True
Sochiapam Chinantec	cso	soch1239	False	False	False	True	False	True
Siwu	akp	siwu1238	True	False	False	False	False	True
Siwi	siz	siwi1239	False	False	True	False	False	True
Siuslaw	sis	sius1254	False	True	False	False	False	True
Situ	tzi	situ1238	False	False	True	False	False	True
Siona-Tetete	snn	sion1247	False	False	True	False	False	True
Simte	smt	simt1238	False	False	False	False	True	True
Shua	shg	shua1254	False	False	False	False	True	True
Shi	shr	shii1238	False	False	False	True	False	True
Sherdukpen	sdp	sher1257	False	False	True	False	False	True
Sheko	she	shek1245	False	False	False	True	False	True
Shekhawati	swv	shek1243	False	False	False	True	False	True
Shasta	sht	shas1239	False	False	False	False	True	True
Selk'nam	ona	onaa1245	False	True	False	False	False	True
Selepet	spl	sele1250	False	False	True	False	False	True
Selee	snw	sele1249	False	False	False	False	True	True
Sekpele	lip	sekp1241	False	False	False	True	False	True
Scottish Gaelic	gla	scot1245	False	False	True	False	False	True
Saya	say	saya1246	False	False	True	False	False	True
Saramaccan	srm	sara1340	False	False	True	False	False	True
Santa María Quiegolani Zapotec	zpi	sant1451	False	False	True	False	False	True
Sankaran Maninka	msc	sank1253	False	True	False	False	False	True
San Martín Quechua	qvs	sanm1289	False	False	True	False	False	True
San Dionisio del Mar Huave	hve	sand1278	False	True	False	False	False	True
Salt-Yui	sll	salt1242	True	False	False	False	False	True
Safaliba	saf	safa1243	False	False	True	False	False	True
Sabanê	sae	saba1268	False	True	False	False	False	True
Saamia	lsm	saam1283	False	False	False	False	True	True
Rongmei Naga	nbu	rong1266	False	False	False	False	True	True
Romagnol	rgn	roma1328	False	False	True	False	False	True
Rio Grande Tewa	tew	tewa1260	False	True	False	False	False	True
Rawang	raw	rawa1265	False	False	False	True	False	True
