Language	ISO 639-3	Glottocode	feet	finger	five	hand	numerals	quinary	toe
Muklom	NOCODE_Muklom	mukl1234	True	True	True	True	True	False	True
Muduga	udg	mudu1239	True	True	True	True	True	False	True
Mudhili Gadaba	gau	mudh1235	True	True	True	True	True	False	True
Mualang	mtd	mual1241	True	True	True	True	True	False	True
Moyon	nmo	moyo1238	True	True	True	True	True	False	True
Motu	meu	motu1246	True	True	True	True	True	False	True
Mota	mtt	mota1237	True	True	True	True	True	False	True
Mossi	mos	moss1236	True	True	True	True	True	False	True
Mosetén-Chimané	cas	mose1249	True	False	True	True	True	True	True
Moselle Franconian	ltz	luxe1241	True	True	True	True	True	False	True
Moose Cree	crm	moos1236	True	True	True	True	True	False	True
Mono (USA)	mnr	mono1275	True	True	True	True	True	False	True
Mono (Democratic Republic of Congo)	mnh	mono1270	True	True	True	True	True	False	True
Mongo	lol	mong1338	True	True	True	True	True	False	True
Moklen	mkm	mokl1243	True	True	True	True	True	False	True
Mokilese	mkj	moki1238	True	True	True	True	True	False	True
Moken	mwt	moke1242	True	True	True	True	True	False	True
Modern Greek	ell	mode1248	True	True	True	True	True	False	True
Mlabri	mra	mlab1235	True	True	True	True	True	False	True
Misima-Paneati	mpx	misi1243	True	True	True	True	True	False	True
Miriwung	mep	miri1266	True	True	True	True	True	False	True
Minigir	vmg	mini1251	False	True	True	True	True	True	True
Milang	NOCODE_Milang	mila1245	True	True	True	True	True	False	True
Midob	mei	mido1240	True	True	True	True	True	False	True
Middle High German	gmh	midd1343	True	True	True	True	True	False	True
Middle Clarence	bdy	midd1357	True	True	True	True	True	False	True
Michoacán Nahuatl	ncl	mich1245	True	True	True	True	True	False	True
Mewari	mtr	mewa1249	True	True	True	True	True	False	True
Meta'	mgo	meta1238	True	True	True	True	True	False	True
Meru	mer	meru1245	True	True	True	True	True	False	True
Menominee	mez	meno1252	True	True	True	True	True	False	True
Mekeo	mek	meke1243	True	True	True	True	True	False	True
Mehek	nux	mehe1243	True	True	True	True	True	False	True
Mbula	mna	mbul1263	True	True	True	True	True	False	True
Mbuk	bpc	mbuk1244	True	True	True	True	True	False	True
Mbre	mka	mbre1244	True	True	True	True	True	False	True
Maybrat-Karon	ayz	maib1239	True	True	True	True	True	False	True
Maung	mph	maun1240	True	True	True	True	True	False	True
Maskelynes	klv	mask1242	True	False	True	True	True	True	True
Masalit	mls	nucl1440	True	True	True	True	True	False	True
Masai	mas	masa1300	True	True	True	True	True	False	True
Marithiel	mfr	mari1424	True	True	True	True	True	False	True
Maring	nng	mari1416	True	True	True	True	True	False	True
Maria (India)	mrr	mari1414	True	True	True	True	True	False	True
Marghi Central	mrt	marg1265	True	True	True	True	True	False	True
Maranunggu	zmr	mara1386	True	True	True	True	True	False	True
Maragus	mrs	mara1399	True	True	True	True	True	False	True
Mapudungun	arn	mapu1245	True	True	True	True	True	False	True
Maonan	mmd	maon1241	True	True	True	True	True	False	True
Mangarayi	mpc	mang1381	True	True	True	True	True	False	True
Mangala	mem	mang1383	True	True	True	True	True	False	True
Mandarin Chinese	cmn	mand1415	True	True	True	True	True	False	True
Mandara	tbf	mand1440	True	True	True	True	True	True	False
Manange	nmm	mana1288	True	True	True	True	True	False	True
Manambu	mle	mana1298	True	True	True	True	True	False	True
Mambwe-Lungu	mgr	mamb1296	True	True	True	True	True	False	True
Mamaindé	wmd	mama1278	True	True	True	True	True	False	True
Malvi	mup	malv1243	True	True	True	True	True	False	True
