ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name,Status,Parent_Glottocode
nari1240,Narim,Africa,4.80331,33.3312,nari1240,loh,surm1244,Surmic,shifting,didi1257
didi1258,Didinga,Africa,4.2148900000000005,33.6869,didi1258,did,surm1244,Surmic,not endangered,didi1257
kweg1241,Kwegu,Africa,5.40416,36.1702,kweg1241,xwg,surm1244,Surmic,shifting,sout2837
meen1242,Me'en,Africa,6.63207,35.6255,meen1242,mym,surm1244,Surmic,shifting,past1248
murs1242,Mursi,Africa,5.69801,36.0971,murs1242,muz,surm1244,Surmic,shifting,suri1266
suri1267,Tirma-Chai,Africa,6.03205,35.0823,suri1267,suq,surm1244,Surmic,threatened,suri1266
yelm1242,Yelmek,Papunesia,-7.4453,139.096,yelm1242,jel,bula1259,Bulaka River,moribund,bula1259
makl1246,Maklew,Papunesia,-7.74424,139.273,makl1246,mgf,bula1259,Bulaka River,shifting,bula1259
fass1245,Momu-Fas,Papunesia,-3.10868,141.64,fass1245,fqs,baib1250,Baibai-Fas,shifting,baib1250
baib1251,Baibai,Papunesia,-3.4267199999999995,141.345,baib1251,bbf,baib1250,Baibai-Fas,shifting,baib1250
koyr1242,Koyraboro Senni Songhai,Africa,16.9634,-0.55187,koyr1242,ses,song1307,Songhay,not endangered,east2431
humb1243,Humburi Senni Songhay,Africa,15.2948,-1.69301,humb1243,hmb,song1307,Songhay,not endangered,east2431
tond1249,Tondi Songway Kiini,Africa,15.262989000000001,-2.816163,tond1249,tst,song1307,Songhay,shifting,east2431
zarm1239,Zarma-Kaado,Africa,12.8554,2.41173,zarm1239,dje,song1307,Songhay,not endangered,zarm1240
dend1243,Dendi (Benin),Africa,11.6682,3.4910900000000002,dend1243,ddn,song1307,Songhay,not endangered,zarm1240
koyr1240,Koyra Chiini Songhay,Africa,16.192,-3.7396199999999995,koyr1240,khq,song1307,Songhay,not endangered,nort2822
tada1238,Tadaksahak,Africa,16.685,2.32653,tada1238,dsq,song1307,Songhay,not endangered,nort2823
tasa1240,Tasawaq,Africa,16.7814,6.92037,tasa1240,twq,song1307,Songhay,shifting,nort2823
tagd1238,Tagdal,Africa,16.1908,6.839919999999999,tagd1238,tda,song1307,Songhay,threatened,nort2823
kora1291,Korandje,Africa,29.4957,-2.48113,kora1291,kcy,song1307,Songhay,shifting,nort2823
hach1239,Hachijo,Eurasia,33.109444,139.79138899999998,hach1239,,japo1237,Japonic,shifting,japo1237
miya1259,Miyako,Eurasia,24.7564,125.363,miya1259,mvi,japo1237,Japonic,moribund,ryuk1244
yona1241,Yonaguni,Eurasia,24.45,122.991,yona1241,yoi,japo1237,Japonic,moribund,macr1267
yaey1239,Yaeyama,Eurasia,24.3401,123.801,yaey1239,rys,japo1237,Japonic,shifting,macr1267
kuni1268,Kunigami,Eurasia,26.5911,128.06799999999998,kuni1268,xug,japo1237,Japonic,shifting,okin1244
cent2126,Central Okinawan,Eurasia,26.14854,127.7816,cent2126,ryu,japo1237,Japonic,moribund,okin1244
yoro1243,Yoron,Eurasia,27.0407,128.428,yoro1243,yox,japo1237,Japonic,shifting,amam1245
kika1239,Kikai,Eurasia,28.31,129.982,kika1239,kzg,japo1237,Japonic,shifting,amam1245
sout2954,Southern Amami-Oshima,Eurasia,28.1955,129.285,sout2954,ams,japo1237,Japonic,shifting,oshi1235
nort2935,Northern Amami-Oshima,Eurasia,28.2099,129.453,nort2935,ryn,japo1237,Japonic,shifting,oshi1235
toku1246,Toku-No-Shima,Eurasia,27.7736,128.961,toku1246,tkn,japo1237,Japonic,shifting,okin1245
okin1246,Oki-No-Erabu,Eurasia,27.3738,128.619,okin1246,okn,japo1237,Japonic,shifting,okin1245
oldj1239,Old Japanese,Eurasia,34.683333000000005,135.8,oldj1239,ojp,japo1237,Japonic,extinct,japa1256
yila1234,Yilan Creole Japanese,Papunesia,,,yila1234,,japo1237,Japonic,shifting,japa1258
