id,family_id,name,iso639P3code,aes,population
arik1264,tupi1275,Arikem,ait,10 (Extinct),0
arik1265,nucl1710,Arikapú,ark,10 (Extinct),0
arin1243,yeni1252,Arin,xrn,unk,-1
arin1244,cent2225,Aringa,luc,Not Endangered,495000
arit1239,pama1250,Aritinngitigh,dth,10 (Extinct),0
arma1244,unat1236,Arma,aoh,10 (Extinct),0
arme1259,sign1238,Armenian Sign Language,aen,Not Endangered,3150
arom1237,indo1319,Aromanian,rup,7 (Shifting),191000
arop1242,aust1307,Arop-Sissano,aps,Not Endangered,1150
arop1243,aust1307,Arop-Lokep,apr,Not Endangered,4500
aros1241,aust1307,Arosi,aia,Not Endangered,6750
arta1239,aust1307,Arta,atz,8b (Nearly extinct),11
arua1260,lowe1437,Aruamu,msy,7 (Shifting),12000
arua1261,tupi1275,Aruá (Rondonia State),arx,8b (Nearly extinct),12
arua1263,araw1282,Aruá (Amazonas State),aru,unk,-1
arue1240,nucl1708,Aruek,aur,7 (Shifting),740
aruo1240,nucl1708,Srenge,lsr,7 (Shifting),700
arut1244,arut1244,Arutani,atx,8b (Nearly extinct),1
arva1236,indo1319,Arvanitika Albanian,aat,6b (Threatened),50000
asar1240,nucl1709,Asaro'o,mtv,Not Endangered,1250
asas1240,nucl1709,Asas,asd,Not Endangered,330
asha1243,araw1281,Asháninka,cni,6b (Threatened),35200
ashe1269,atla1278,Ashe,ahs,Not Endangered,40000
ashe1272,araw1281,Ashéninka Perené,prq,6b (Threatened),300
ashe1273,araw1281,Ashéninka Pajonal,cjo,6b (Threatened),12000
ashk1246,indo1319,Ashkun,ask,7 (Shifting),40000
asho1236,sino1245,Asho Chin,csh,Not Endangered,174000
asht1244,indo1319,Ashtiani,atn,6b (Threatened),26000
asil1242,aust1307,Asilulu,asl,6b (Threatened),8760
asko1238,nort2933,Askopan,eiv,Not Endangered,5000
asoa1238,cent2225,Asoa,asv,Not Endangered,25500
assa1263,indo1319,Assamese,asm,Not Endangered,15328790
assa1266,book1242,Assan,xss,10 (Extinct),0
assa1269,tama1329,Assangori,sjg,6b (Threatened),23500
assi1247,siou1252,Assiniboine,asb,7 (Shifting),150
asss1237,aust1307,As,asz,8b (Nearly extinct),5
assy1241,afro1255,Assyrian Neo-Aramaic,aii,6b (Threatened),587320
astu1245,indo1319,Asturian-Leonese-Cantabrian,ast,Not Endangered,110000
asue1235,nucl1709,Asue Awyu,psa,6b (Threatened),6500
asum1237,aust1307,Asumboa,aua,8a (Moribund),10
asun1235,atla1278,Asu (Nigeria),aum,Not Endangered,5000
asun1236,otom1299,Asunción Mixtepec Zapotec,zoo,8a (Moribund),100
asur1254,aust1305,Asuri,asr,7 (Shifting),7000
asut1235,atla1278,Asu (Tanzania),asa,Not Endangered,530000
ataa1240,aust1307,Ata,atm,8b (Nearly extinct),3
atak1252,atak1252,Atakapa,aqp,unk,-1
atam1239,pama1250,Atampaya,amz,10 (Extinct),0
atam1240,aust1307,Ata Manobo,atd,Not Endangered,11600
atat1238,otom1299,Atatláhuca Mixtec,mib,6b (Threatened),8300
atay1247,aust1307,Atayal,tay,6b (Threatened),84300
atem1241,nucl1709,Mand,ate,8b (Nearly extinct),8
athp1241,sino1245,Athpariya,aph,7 (Shifting),5530
atii1237,aust1307,Ati,atk,7 (Shifting),1500
atik1240,algi1248,Atikamekw,atj,6b (Threatened),6160
atoh1238,kaya1327,Atohwaim,aqm,6b (Threatened),1000
aton1241,sino1245,Atong (India),aot,7 (Shifting),10000
aton1242,atla1278,Atong,ato,6b (Threatened),4200
ator1244,araw1281,Atorada,aox,8a (Moribund),10
atsa1241,atla1278,Atsam,cch,Not Endangered,30000
atsa1242,pano1259,Atsahuaca,atc,unk,-1
atsu1245,pala1350,Atsugewi,atw,10 (Extinct),0
atta1243,drav1251,Attapady Kurumba,pkr,Not Endangered,1370
atti1239,atla1278,Attié,ati,Not Endangered,642000
atue1238,book1242,Atuence,atf,unk,-1
atzi1235,otom1299,Atzingo Matlatzinca,ocu,7 (Shifting),100
auhe1237,aust1307,'Auhelawa,kud,Not Endangered,1200
aulu1238,aust1307,Aulua,aul,7 (Shifting),750
aura1243,tupi1275,Aurê y Aurá,aux,10 (Extinct),0
aush1241,atla1278,Aushi,auh,Not Endangered,100000
aush1242,zapa1251,Aushiri,avs,10 (Extinct),0
aust1252,sign1238,Austrian Sign Language,asq,Not Endangered,8000
aust1253,sign1238,Australian Aborigines Sign Language,asw,6b (Threatened),0
aust1271,sign1238,Auslan,asf,7 (Shifting),10100
aust1304,aust1307,Austral,aut,7 (Shifting),5000
auuu1241,nucl1708,Au,avt,7 (Shifting),8000
auve1240,book1242,Auvergnat,auv,unk,-1
auwe1239,bord1247,Auwe,smf,7 (Shifting),410
auye1238,nucl1709,Auye,auu,7 (Shifting),350
auyo1240,afro1255,Auyokawa,auo,10 (Extinct),0
avac1239,tupi1275,Avá-Canoeiro,avv,8a (Moribund),14
avar1256,nakh1245,Avar,ava,6b (Threatened),765300
